t,d,lon_velocity
2.7,-0.0086062839813393,5.583875
2.7,-0.0068411349971334,5.585572689256944
2.7,-0.0043807342053688,5.590361484982028
2.7,-0.0015349467868129,5.597771423157484
2.7,0.0,5.607433448069814
2.7,0.0,5.619035108178064
2.7,0.0,5.6323027687218685
2.7,0.0,5.647000443450686
2.7,0.0,5.662923878538814
2.7,0.0,5.679899449511353
2.7,0.0,5.697776140213173
2.7,0.0,5.716425235903748
2.7,0.0,5.735825602231593
2.7,0.0,5.755883988530026
2.7,0.0,5.776468267301285
2.7,0.0,5.797485404077815
2.7,0.0,5.81871846446685
2.7,0.0,5.840208442541447
2.7,0.0163184053683625,4.283723540614079
2.7,0.015470953108644,4.299225681857257
2.7,0.0145641726240248,4.303160164591573
2.7,0.0,5.875490376096072
2.7,0.0,5.867724355726684
2.7,0.0,5.864472254437086
2.7,0.0,5.865100524520586
2.7,0.0,4.290858923940616
2.7,0.0,5.869319239058465
2.7,0.0,5.866778540033896
2.7,0.0,4.289824584219505
2.7,0.0,5.86598160584719
2.7,0.0,5.861469900638213
2.7,0.0060297283740313,5.860999210624806
2.7,0.0054167717518021,5.86395600759203
2.7,0.0,4.291758643552784
2.7,0.0043478213966694,5.87195630159074
2.7,0.0,4.292761479818216
2.7,0.0035027066308408,5.866924705528651
2.7,0.0031579583576671,5.860664742423888
2.7,0.0028626217648808,5.858626554576879
2.7,0.0026156844927981,5.86022109819075
2.7,0.0,4.286805547703166
2.7,0.002253108520689,5.865973666745024
2.7,0.002123461915822,5.864034948215759
2.7,0.0020210201917196,5.865722800128866
2.7,0.0,4.292398060746826
2.7,0.0018836985979216,5.871645704188343
2.7,0.0018379579131224,5.86978077386477
2.7,0.0,4.293404165410164
2.7,0.0017757797316438,5.87003633105145
2.7,0.0017525882026294,5.865926485417268
2.7,0.0017323589882545,5.865752793065805
2.7,0.0,4.290827305771637
2.7,0.0017000223727971,5.868702205023046
2.7,0.0016839547240213,5.865658858806068
2.7,0.0016671956312981,5.866398340380001
2.7,0.0,4.292249359296351
2.7,0.0016343171228501,5.870787589176619
2.7,0.001615768033549,5.868307840388002
2.7,0.0,4.291404290491597
2.7,0.0015749241162653,5.867584850348613
2.7,0.0015514584380742,5.863081686682754
2.7,0.0015265057857689,5.862567780312869
2.7,0.001501608712866,5.86546601809622
2.7,0.0,4.2931634913667045
2.7,0.0014552907494485,5.873285196559618
2.7,0.0,4.29403700118102
2.7,0.0,4.290090832849866
2.7,0.0,4.277544312700189
2.7,0.0,4.25763427541582
2.7,0.0,4.231417545786517
2.7,0.0,4.199802466103857
2.7,0.0,4.163571959839322
2.7,0.0,4.123392102212122
2.7,0.0,4.079819270456547
2.7,0.0,4.033352163606611
2.7,0.0,3.984418676810116
2.7,0.0,3.9333694279765457
2.7,0.0,3.880494494469092
2.7,0.0,3.8260700916112302
2.7,0.0,3.770319342326885
2.7,0.0,3.7134353581437214
2.7,0.0,3.655586550047368
2.7,0.0,3.5969070023642606
2.7,0.0,3.5375082398274387
2.7,0.0,3.477500310211603
2.7,0.0,3.416984433901323
2.7,0.0,3.356024682430376
2.7,0.0,3.294674606280191
2.7,0.0,3.2329913487622037
2.7,0.0,4.749152211585158
2.2,0.0,4.703554221354744
2.2,0.0,4.671475956788504
2.2,0.0,4.648918893283085
1.6999999999999995,6.619843263482656e-05,4.634288812074391
1.6999999999999995,4.8456147677628926e-05,4.62788214625779
1.6999999999999995,3.4401447915543534e-05,4.629607590644621
1.2,2.3981198455084254e-05,4.637646912322067
1.2,1.683287271762667e-05,4.653371934932551
1.2,1.2538529859114962e-05,4.677129719282458
1.2,1.0413731166089942e-05,4.706220230944476
1.2,9.7115007216934e-06,4.74017360660478
1.2,1.001139169267e-05,4.7862761384649
1.6999999999999995,0.0,4.834105205429313
1.6999999999999995,0.0,4.881234512618529
1.6999999999999995,0.0,4.926012239580509
1.6999999999999995,0.0,4.9689673480433
2.2,0.0,5.010509648476858
2.7,0.0,5.0503219441698
2.7,0.0,5.08791910482652
2.7,9.70642125259993e-06,5.1234455799328575
2.7,9.650251676548324e-06,5.157199520124598
2.7,9.611446926502612e-06,5.189436239790715
2.7,9.584638666017851e-06,5.220374149778645
2.7,9.566118180011056e-06,5.250200309430961
2.7,9.553323302770777e-06,5.279074888371074
2.7,9.544483962186856e-06,5.307134911860769
2.7,9.538377303991448e-06,5.334497773202927
2.7,9.534158519347792e-06,5.361263876532322
2.7,9.531243972094606e-06,5.387519120087129
2.7,9.529230457206185e-06,5.413337011567152
2.7,9.52783942050178e-06,5.438780624192594
2.7,9.526878422833414e-06,5.463903831648047
2.7,9.526214517621075e-06,5.4887528499949285
2.7,9.525755858723682e-06,5.5133671883262805
2.7,9.525438994237235e-06,5.537780667210995
2.7,9.525220088415626e-06,5.562022252729162
2.7,9.525068857334886e-06,5.586116791985565
2.7,9.524964379346984e-06,5.6100855314151055
2.7,9.52489220073196e-06,5.633946428051294
2.7,9.524842336137789e-06,5.657715017970892
2.7,9.524807887184298e-06,5.681404580821545
2.7,9.52478408812574e-06,5.7050265034680026
2.7,9.524767646546802e-06,5.728590509098034
2.7,9.524756287882454e-06,5.752104953489323
2.7,0.0,5.775576859061097
2.7,0.0,5.799012433562507
2.7,0.0,5.822416864018862
2.7,0.0,5.845794687402392
2.7,9.450344223926431e-06,4.291024696048166
2.7,9.42154624441577e-06,4.308026238635352
2.7,9.401651161075529e-06,4.313412840351069
2.7,9.387906643305848e-06,4.308857427282065
2.7,9.378411243588724e-06,5.873916984361132
2.7,9.371851346959478e-06,5.859901265292454
2.7,9.367319442556468e-06,5.85124873164775
2.7,9.364188576526282e-06,5.847186869308661
2.7,0.0,18.476675
2.7,0.0,18.478368506100097
2.7,0.0,18.483179339335354
2.7,0.0,18.490750902756883
2.7,0.0,18.500659323673077
2.7,0.0,18.51225804000594
2.7,0.0,18.52537416410352
2.7,0.0,18.54009742258797
2.7,0.0,18.55615367989545
2.7,0.0,18.573418221925667
2.7,0.0,18.59154017471308
2.7,0.0,18.609812209519127
2.7,0.0,18.629047103266217
2.7,0.0,18.64904626208457
2.7,0.0,18.66975945961984
2.7,0.0,18.6904017467504
2.7,0.0,18.711294921066475
2.7,0.0,18.73279446527233
2.7,0.0,18.7546451064833
2.7,0.0,18.776549667353574
2.7,0.0,18.79845017273285
2.7,0.0,18.820749468307568
2.7,0.0009165683744266,17.265256590175145
2.7,0.0007947332999589,17.281269569180687
2.7,0.0006838824172442,17.286000828155288
2.7,0.0005858102456964,17.28088462737928
2.7,0.0,18.845380441188848
2.7,0.0,18.830958875504205
2.7,0.0,18.82189739040412
2.7,0.0,18.817508185323472
2.7,0.0,18.81711631383338
2.7,0.0,18.82007101646289
2.7,0.0,18.826003559981466
2.7,0.0,18.834387857026243
2.7,0.0001659228353405,17.26681115555609
2.7,0.0001480777952029,17.272849302507446
2.7,0.0,18.846963328737527
2.7,0.0,18.84070205088468
2.7,0.0,18.838678270177528
2.7,0.0,18.84030755378456
2.7,9.653622106439988e-05,17.2669043067551
2.7,0.0,18.84608064480744
2.7,8.563605228233146e-05,17.266040520813625
2.7,0.0,18.839532467873
2.7,7.754770494482713e-05,18.83272345828771
2.7,0.0,18.830255040558463
2.7,0.0,18.831491791906803
2.7,0.0,18.83586884036881
2.7,0.0,17.26485698737213
2.7,0.0,17.267951425121634
2.7,6.090106121209144e-05,18.839548331357424
2.7,5.818930684528698e-05,18.83113868248199
2.7,5.5518908195814776e-05,18.8272853571025
2.7,5.2997294242644485e-05,18.827324023207243
2.7,5.069435345286389e-05,18.830703690501604
2.7,4.865010614283287e-05,18.83694859229987
2.7,0.0,17.267509813786933
2.7,0.0,17.27194584058603
2.7,4.3991115818721705e-05,18.84471029227633
2.7,4.26758953062875e-05,18.837296594136536
2.7,0.0,18.834282814503585
2.7,0.0,18.8350481963126
2.7,3.918499330587256e-05,17.260925467586315
2.7,0.0,18.839487627266717
2.7,3.689913132369038e-05,18.83703041404004
2.7,0.0,18.83827074695666
2.7,3.457699048688921e-05,17.264551307256486
2.7,0.0,18.843457976117275
2.7,0.0,18.84129509171029
2.7,3.1084682947861345e-05,17.264663141185643
2.7,0.0,18.84107624169372
2.7,2.868747660732552e-05,18.836777827806525
2.7,0.0,18.836442551049128
2.7,0.0,18.839503526103
2.7,2.516855253424981e-05,17.267341611941045
2.7,2.401091889371442e-05,17.269455794290664
2.7,0.0,18.84022422946536
2.7,2.1842744419461517e-05,18.831095064538733
2.7,0.0,18.82662521513907
2.7,0.0,18.826143586442363
2.7,0.0,18.82907574336549
2.7,0.0,18.834929988391185
2.7,2.0765587675047272e-05,17.265160444632254
2.7,2.0709970377997097e-05,17.269322867878177
2.7,0.0,18.84184459006348
2.7,0.0,18.83421618109654
2.7,0.0,18.83103092942025
2.7,0.0,18.83164888494831
2.7,0.0,18.83552253471198
2.7,2.036572380878855e-05,17.264058911974217
2.7,0.0,18.84489527306779
2.7,2.023410482587801e-05,17.266257598695393
2.7,0.0,18.840954292769503
2.7,2.012460913292744e-05,18.835188175700196
2.7,0.0,18.833597126637397
2.7,0.0,18.835579902692
2.7,1.9966832134363672e-05,17.262497510918173
2.7,0.0,18.841950650293548
2.7,0.0,18.840250191371982
2.7,0.0,4.846475
2.7,0.0,4.8482058554768175
2.7,0.0,4.853025106197742
2.7,0.0,4.860587182087711
2.7,0.0,4.87046049609479
2.7,0.0,4.882359324050625
2.7,0.0,4.8959568792063015
2.7,0.0,4.911009639736568
2.7,-0.0004845801373224,4.927286532162301
2.7,-0.0011891889514335,4.944593107685302
2.7,-0.0014858812266048,4.962763871711328
2.7,-0.0014787007268903,4.981664170403129
2.7,-0.0012553502271653,5.001185833860972
2.7,-0.0008879717247543,5.021236717662031
2.7,-0.0004343975940105,5.041745542446543
2.7,0.0,5.062648064215328
2.7,0.0,5.083892198044091
