0.392005,0.789035,0.662166,-0.945466,-0.0527108,0.717734,0.18073,0.285797,0,0.46566,0.761565,1,0.687674,0.285797,0,0.623958,0.635355,0.379733,0,0,0,0.0440091,0.688799,0.965559,0,0,0,
0.635653,0.670098,0.439356,-0.61795,0.885221,0.194927,0.18073,0.285797,0,0.46566,0.761565,1,0.687674,0.285797,0,0.623958,0.635355,0.379733,0,0,0,0.0440091,0.688799,0.965559,0,0,0,
0.65712,0.13579,0.857772,0.828868,-0.116352,0.730047,0.326797,0.322055,0,0.714186,0.0688691,1,0.844602,0.322055,0,0.0516689,0.581577,0.544467,0,0,0,0.959433,0.0799387,0.912478,0,0,0,
0.400526,0.223003,0.646669,0.704252,-0.240621,0.424334,0.326797,0.322055,0,0.714186,0.0688691,1,0.844602,0.322055,0,0.0516689,0.581577,0.544467,0,0,0,0.959433,0.0799387,0.912478,0,0,0,
0.246865,0.486278,0.512156,0.742022,-0.586272,0.175427,0.326797,0.322055,0,0.714186,0.0688691,1,0.844602,0.322055,0,0.0516689,0.581577,0.544467,0,0,0,0.959433,0.0799387,0.912478,0,0,0,
0.940308,0.643529,0.400975,0.311404,0.687417,-0.350071,0.324925,0.552523,0,0.783429,0.0118827,1,0.870323,0.552523,0,0.367811,0.0819993,0.98595,0,0,0,0.958859,0.662898,0.315576,0,0,0,
0.95219,0.295377,0.572578,0.0619959,0.919008,-0.781434,0.324925,0.552523,0,0.783429,0.0118827,1,0.870323,0.552523,0,0.367811,0.0819993,0.98595,0,0,0,0.958859,0.662898,0.315576,0,0,0,
0.905771,0.148295,0.714723,0.532995,0.794156,-0.686988,0.324925,0.552523,0,0.783429,0.0118827,1,0.870323,0.552523,0,0.367811,0.0819993,0.98595,0,0,0,0.958859,0.662898,0.315576,0,0,0,
0.535498,0.0469636,0.944687,0.924337,-0.537168,-0.195635,0.324925,0.552523,0,0.783429,0.0118827,1,0.870323,0.552523,0,0.367811,0.0819993,0.98595,0,0,0,0.958859,0.662898,0.315576,0,0,0,
0.978957,0.290286,0.546738,0.24723,0.571522,-0.707541,0.49899,0.599614,0,0.843727,0.105617,1,0.89155,0.599614,0,0.432362,0.466194,0.97639,0,0,0,0.983516,0.373423,0.409629,0,0,0,
0.707989,0.134028,0.703444,0.940641,-0.0889506,-0.784354,0.49899,0.599614,0,0.843727,0.105617,1,0.89155,0.599614,0,0.432362,0.466194,0.97639,0,0,0,0.983516,0.373423,0.409629,0,0,0,
0.763793,0.325201,0.48858,0.353431,-0.94444,-0.499237,0.68586,0.269555,0,0.890736,0.47472,1,0.892612,0.269555,0,0.201496,0.783732,0.804802,0,0,0,0.769752,0.166873,0.473887,0,0,0,
0.567441,0.565331,0.612562,0.909384,-0.824584,-0.585721,0.68586,0.269555,0,0.890736,0.47472,1,0.892612,0.269555,0,0.201496,0.783732,0.804802,0,0,0,0.769752,0.166873,0.473887,0,0,0,
0.431107,0.749285,0.130723,-0.859471,0.311635,-6.24657e-05,0.174748,0.440405,0,0.431914,0.696744,1,0.685814,0.440405,0,0.965004,0.777514,0.855093,0,0,0,0.156524,0.895478,0.100651,0,0,0,
0.654986,0.716066,0.29583,-0.822298,0.195889,-0.744354,0.174748,0.440405,0,0.431914,0.696744,1,0.685814,0.440405,0,0.965004,0.777514,0.855093,0,0,0,0.156524,0.895478,0.100651,0,0,0,
0.834122,0.674607,0.583927,-0.717782,-0.0169758,-0.903451,0.174748,0.440405,0,0.431914,0.696744,1,0.685814,0.440405,0,0.965004,0.777514,0.855093,0,0,0,0.156524,0.895478,0.100651,0,0,0,
0.669833,0.296526,0.946774,0.639726,-0.0884466,0.178726,0.662399,0.669679,0,0.871368,0.222787,1,0.897332,0.669679,0,0.491626,0.427654,0.810638,0,0,0,0.994869,0.21004,0.894001,0,0,0,
0.597066,0.530977,0.609355,-0.863315,-0.00128096,0.795592,0.290293,0.292862,0,0.676152,0.520809,1,0.707612,0.292862,0,0.805684,0.358289,0.447368,0,0,0,0.2074,0.468598,0.709197,0,0,0,
0.751369,0.457207,0.50213,-0.107982,0.493514,0.24257,0.290293,0.292862,0,0.676152,0.520809,1,0.707612,0.292862,0,0.805684,0.358289,0.447368,0,0,0,0.2074,0.468598,0.709197,0,0,0,
0.204863,0.749743,0.19374,-0.499856,0.601453,-0.755034,0.503169,0.0897484,0,0.744587,0.623854,1,0.897407,0.0897484,0,0.890575,0.738256,0.304812,0,0,0,0.186425,0.798444,0.15544,0,0,0,
0.618951,0.685134,0.288002,-0.879613,-0.138465,0.125943,0.503169,0.0897484,0,0.744587,0.623854,1,0.897407,0.0897484,0,0.890575,0.738256,0.304812,0,0,0,0.186425,0.798444,0.15544,0,0,0,
0.968759,0.462138,0.411562,-0.386483,0.678745,-0.482995,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
0.752798,0.452893,0.486709,0.0179429,-0.964157,0.344241,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
0.544974,0.700302,0.411309,0.690146,-0.56721,0.222797,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
0.926522,0.521774,0.333645,-0.173892,0.731762,-0.431141,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
0.771397,0.430555,0.458428,0.635618,-0.662637,0.295161,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
0.579053,0.725581,0.394833,0.876901,-0.660809,-0.187805,0.653829,0.559418,0,0.882456,0.335267,1,0.894072,0.559418,0,0.388083,0.783625,0.428396,0,0,0,0.907459,0.588977,0.321971,0,0,0,
